"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","49","7","7","1","5.970777","0","7"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","44","48","1","0.000000","0","48"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","166","184","6","0.000000","0","184"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial.BlackUnlitMaterial","49","12","12","1","0.000000","9","30"
"/Game/LIDAR/Material/M_Point.M_Point","49","38","40","1","22.812925","0","40"
"NS_LidarScanner","49","2","0","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_FlatCol.M_FlatCol","49","22","22","1","0.000000","0","22"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","204","214","6","0.000000","0","214"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","158","168","6","0.000000","0","168"
"/InterchangeAssets/Materials/FBXLegacyPhongSurfaceMaterial.FBXLegacyPhongSurfaceMaterial","49","48","48","2","84.083580","0","48"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","0.000000","0","54"
"/Fab/Materials/Standard/M_MS_Base.M_MS_Base","49","18","19","1","0.000000","18","57"
"/Game/kar/kar_wheel.kar_wheel","49","11","11","1","11.951716","0","11"
"/Game/kar/Kar_tracks.Kar_tracks","49","11","11","1","0.000000","0","11"
"/Game/kar/kar_misc.kar_misc","49","11","11","1","0.000000","0","11"
"/LidarScanner/Materials/M_LidarDots.M_LidarDots","49","20","22","1","26.173092","0","22"
"/Game/kar/Kar_base.Kar_base","49","11","11","1","0.000000","0","11"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","158","168","6","0.000000","0","168"
"/InterchangeAssets/gltf/M_Default.M_Default","49","185","207","7","16.176252","0","207"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","13","13","1","0.000000","0","13"
"/MeshModelingToolsetExp/Materials/PointSetOverlaidComponentMaterial.PointSetOverlaidComponentMaterial","49","13","14","1","0.000000","0","14"
